"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"120375","01-05-26 00:00","South America","Copa Libertadores","2026","Ind. Rivadavia","La Guaira","1.32","5.31","9.61","1.05","11.00","1.31","3.50","1.99","1.83","3.37","1.34","6.32","1.13","2.44","1.57"
"120374","01-05-26 00:00","South America","Copa Libertadores","2026","Bolivar","Fluminense","2.17","3.31","3.45","1.09","8.00","1.40","3.00","2.34","1.62","4.37","1.22","8.82","1.07","1.90","1.93"
"120376","30-04-26 04:00","South America","Copa Libertadores","2026","U. de Deportes","Nacional","2.43","3.10","3.14","1.12","6.50","1.54","2.50","2.63","1.50","5.26","1.17","10.60","1.05","2.01","1.83"
"120378","30-04-26 02:30","South America","Copa Libertadores","2026","Estudiantes L.P.","Flamengo RJ","3.32","2.96","2.33","1.11","6.00","1.50","2.50","2.65","1.45","5.14","1.14","9.26","1.04","2.01","1.74"
"120377","30-04-26 02:30","South America","Copa Libertadores","2026","Cerro Porteno","Palmeiras","5.21","3.17","1.78","1.09","6.50","1.50","2.50","2.48","1.50","4.70","1.17","8.54","1.05","2.21","1.62"
"120379","30-04-26 02:00","South America","Copa Libertadores","2026","Barcelona SC","U. Catolica","2.10","3.06","3.74","1.06","8.00","1.42","2.75","2.31","1.57","3.98","1.22","7.82","1.06","1.95","1.80"
"120381","30-04-26 00:00","South America","Copa Libertadores","2026","Platense","Santa Fe","1.73","3.35","5.17","1.09","6.50","1.50","2.50","2.48","1.50","4.70","1.17","8.54","1.05","2.27","1.59"
"120380","30-04-26 00:00","South America","Copa Libertadores","2026","Mirassol","Always Ready","1.26","5.91","9.30","1.01","14.20","1.15","5.00","1.50","2.50","2.31","1.57","3.98","1.22","1.86","1.89"
"120382","29-04-26 04:00","South America","Copa Libertadores","2026","Deportes Tolima","Coquimbo","1.76","3.36","4.94","1.09","6.50","1.45","2.63","2.48","1.50","4.47","1.18","8.54","1.05","2.21","1.62"
"120383","29-04-26 04:00","South America","Copa Libertadores","2026","Sporting Cristal","Junior","2.47","3.06","2.96","1.08","7.00","1.45","2.63","2.40","1.54","4.47","1.18","8.54","1.05","2.01","1.75"
"120384","29-04-26 02:30","South America","Copa Libertadores","2026","Cruzeiro","Boca Juniors","2.69","2.85","2.90","1.11","6.00","1.50","2.50","2.48","1.50","4.70","1.17","8.54","1.05","1.91","1.83"
"120385","29-04-26 02:00","South America","Copa Libertadores","2026","Universidad Central","Rosario Central","6.67","4.20","1.46","1.03","10.00","1.28","3.50","1.97","1.83","3.33","1.30","5.90","1.11","1.97","1.78"
"120387","29-04-26 00:00","South America","Copa Libertadores","2026","Libertad Asuncion","Ind. del Valle","2.78","3.05","2.62","1.06","8.00","1.42","2.75","2.31","1.57","4.23","1.20","7.82","1.06","1.86","1.89"
"120386","29-04-26 00:00","South America","Copa Libertadores","2026","Lanus","LDU Quito","1.42","4.46","7.08","1.04","9.57","1.28","3.46","1.99","1.82","3.50","1.28","6.45","1.10","2.27","1.59"
"120389","17-04-26 02:30","South America","Copa Libertadores","2026","Penarol","Platense","1.91","2.93","4.88","1.15","5.00","1.74","2.10","3.13","1.34","6.23","1.10","10.60","1.03","2.51","1.49"
"120388","17-04-26 02:30","South America","Copa Libertadores","2026","Flamengo RJ","Ind. Medellin","1.18","6.48","14.20","1.02","14.40","1.15","5.00","1.54","2.38","2.40","1.54","3.98","1.22","2.17","1.65"
"120391","17-04-26 00:00","South America","Copa Libertadores","2026","Palmeiras","Sporting Cristal","1.16","7.97","12.60","1.02","14.90","1.15","5.00","1.54","2.38","2.31","1.57","3.98","1.22","2.38","1.54"
"120390","17-04-26 00:00","South America","Copa Libertadores","2026","Lanus","Always Ready","1.34","5.48","7.11","1.03","15.00","1.19","4.33","1.69","2.10","2.65","1.45","4.70","1.17","2.06","1.71"
"120392","16-04-26 04:00","South America","Copa Libertadores","2026","Ind. del Valle","Universidad Central","1.30","5.23","9.46","1.02","12.80","1.18","4.50","1.63","2.20","2.48","1.50","4.47","1.18","2.01","1.75"
"120394","16-04-26 02:30","South America","Copa Libertadores","2026","Fluminense","Ind. Rivadavia","1.69","3.59","4.99","1.06","8.00","1.42","2.75","2.22","1.62","4.23","1.20","7.82","1.06","2.01","1.74"
"120393","16-04-26 02:30","South America","Copa Libertadores","2026","Corinthians","Santa Fe","1.43","4.23","7.45","1.06","8.00","1.45","2.63","2.31","1.57","4.47","1.18","7.82","1.06","2.51","1.49"
"120396","16-04-26 00:00","South America","Copa Libertadores","2026","Libertad Asuncion","Rosario Central","4.48","3.07","1.92","1.11","6.00","1.54","2.38","2.65","1.45","5.14","1.14","9.26","1.04","2.17","1.65"
"120395","16-04-26 00:00","South America","Copa Libertadores","2026","Cruzeiro","U. Catolica","1.54","4.14","5.69","1.02","11.00","1.28","3.50","1.97","1.83","3.33","1.30","5.90","1.11","1.97","1.78"
"120398","15-04-26 04:00","South America","Copa Libertadores","2026","U. de Deportes","Coquimbo","1.96","3.31","3.91","1.09","6.50","1.54","2.38","2.65","1.45","5.14","1.14","9.26","1.04","2.28","1.59"
"120397","15-04-26 04:00","South America","Copa Libertadores","2026","LDU Quito","Mirassol","1.74","3.60","4.64","1.03","10.00","1.28","3.50","2.01","1.80","3.33","1.30","6.23","1.10","1.87","1.87"
"120400","15-04-26 02:00","South America","Copa Libertadores","2026","Bolivar","La Guaira","1.19","6.19","14.20","1.01","14.20","1.15","5.00","1.60","2.25","2.48","1.50","4.23","1.20","2.28","1.59"
"120399","15-04-26 02:00","South America","Copa Libertadores","2026","Boca Juniors","Barcelona SC","1.32","5.16","8.43","1.05","9.00","1.31","3.25","2.11","1.73","3.71","1.25","6.84","1.09","2.51","1.49"
"120403","15-04-26 00:00","South America","Copa Libertadores","2026","Nacional","Deportes Tolima","1.89","3.27","4.28","1.08","7.00","1.42","2.75","2.31","1.57","4.23","1.20","7.82","1.06","1.97","1.78"
"120402","15-04-26 00:00","South America","Copa Libertadores","2026","Estudiantes L.P.","Cusco","1.16","7.41","14.10","1.01","12.50","1.19","4.33","1.69","2.10","2.65","1.45","4.70","1.17","2.64","1.45"
"120401","15-04-26 00:00","South America","Copa Libertadores","2026","Cerro Porteno","Junior","2.30","2.96","3.38","1.09","6.50","1.50","2.50","2.65","1.45","4.70","1.17","8.54","1.05","2.01","1.74"
"120404","10-04-26 04:00","South America","Copa Libertadores","2026","Santa Fe","Penarol","2.20","2.98","3.59","1.11","6.00","1.54","2.38","2.65","1.45","5.14","1.14","9.26","1.04","2.10","1.69"
"120405","10-04-26 02:00","South America","Copa Libertadores","2026","Platense","Corinthians","3.15","2.74","2.58","1.14","5.26","1.73","2.10","3.17","1.33","6.52","1.09","10.70","1.03","2.38","1.54"
"120406","10-04-26 00:00","South America","Copa Libertadores","2026","Rosario Central","Ind. del Valle","1.50","3.85","7.05","1.06","8.00","1.42","2.75","2.22","1.62","3.98","1.22","7.36","1.07","2.17","1.65"
"120407","10-04-26 00:00","South America","Copa Libertadores","2026","Universidad Central","Libertad Asuncion","3.03","2.98","2.48","1.09","6.50","1.45","2.63","2.48","1.50","4.70","1.17","8.54","1.05","1.97","1.78"
"120408","09-04-26 04:00","South America","Copa Libertadores","2026","Sporting Cristal","Cerro Porteno","2.57","3.05","2.84","1.08","7.00","1.45","2.63","2.31","1.57","4.23","1.20","7.82","1.06","1.95","1.80"
"120410","09-04-26 02:30","South America","Copa Libertadores","2026","Junior","Palmeiras","4.92","3.44","1.74","1.06","8.00","1.42","2.75","2.22","1.62","4.23","1.20","7.82","1.06","1.97","1.78"
"120409","09-04-26 02:30","South America","Copa Libertadores","2026","Cusco","Flamengo RJ","4.93","3.25","1.79","1.06","8.00","1.42","2.75","2.31","1.57","4.23","1.20","7.82","1.06","1.97","1.78"
"120411","09-04-26 02:00","South America","Copa Libertadores","2026","Ind. Medellin","Estudiantes L.P.","2.64","2.92","2.87","1.11","6.00","1.54","2.38","2.65","1.45","5.14","1.14","9.26","1.04","2.01","1.74"
"120413","09-04-26 00:00","South America","Copa Libertadores","2026","Mirassol","Lanus","2.24","3.06","3.38","1.11","6.00","1.54","2.38","2.65","1.45","5.14","1.14","9.26","1.04","2.10","1.69"
"120412","09-04-26 00:00","South America","Copa Libertadores","2026","Coquimbo","Nacional","2.22","2.86","3.70","1.11","6.00","1.50","2.50","2.65","1.45","5.14","1.14","9.26","1.04","2.01","1.74"
"120414","08-04-26 04:00","South America","Copa Libertadores","2026","Deportes Tolima","U. de Deportes","1.91","2.94","4.89","1.11","6.00","1.50","2.50","2.65","1.45","4.70","1.17","9.26","1.04","2.10","1.69"
"120415","08-04-26 02:30","South America","Copa Libertadores","2026","U. Catolica","Boca Juniors","3.82","2.94","2.14","1.11","6.00","1.50","2.50","2.65","1.45","5.14","1.14","9.26","1.04","2.01","1.74"
"120417","08-04-26 02:00","South America","Copa Libertadores","2026","Barcelona SC","Cruzeiro","3.35","2.95","2.31","1.09","6.50","1.50","2.50","2.65","1.45","4.70","1.17","9.26","1.04","2.01","1.74"
"120416","08-04-26 02:00","South America","Copa Libertadores","2026","Always Ready","LDU Quito","1.97","3.57","3.55","1.02","11.00","1.28","3.50","1.97","1.83","3.13","1.34","5.90","1.11","1.68","2.11"
"120418","08-04-26 00:00","South America","Copa Libertadores","2026","Ind. Rivadavia","Bolivar","1.47","4.30","6.44","1.02","12.00","1.22","4.00","1.74","2.10","2.65","1.45","4.70","1.17","1.72","2.05"
"120419","08-04-26 00:00","South America","Copa Libertadores","2026","La Guaira","Fluminense","6.71","3.63","1.55","1.05","9.00","1.29","3.40","2.11","1.73","3.43","1.29","6.23","1.10","2.11","1.68"
