temporada,temporada_dropdown,semana,time_casa,time_fora,gols_casa,gols_fora,odd_casa,odd_empate,odd_fora,vencedor,odd_vencedora
15/16,15/16,25,Fiorentina,Verona,1,1,1.4,4.5,8.5,Empate,4.5
15/16,15/16,25,Génova,FC Turino,3,2,2.6,3.0,3.0,Génova,2.6
15/16,15/16,25,Udinese,AS Roma,1,2,4.5,3.6,1.8,AS Roma,1.8
15/16,15/16,25,Lázio,Atalanta,2,0,1.85,3.6,4.2,Lázio,1.85
15/16,15/16,25,Palermo,Nápoles,0,1,9.5,6.0,1.25,Nápoles,1.25
15/16,15/16,26,FC Empoli,Palermo,0,0,1.7,3.75,5.0,Empate,3.75
15/16,15/16,26,AS Roma,Inter de Milão,1,1,1.8,3.6,4.5,Empate,3.6
15/16,15/16,26,Atalanta,Bolonha,2,0,2.05,3.0,4.2,Atalanta,2.05
15/16,15/16,26,FC Turino,Juventus,1,4,5.25,3.3,1.8,Juventus,1.8
15/16,15/16,26,Frosinone,Fiorentina,0,0,5.75,4.0,1.55,Empate,4.0
15/16,15/16,26,Sampdoria,Chievo,0,1,1.8,3.4,4.75,Chievo,4.75
15/16,15/16,26,Sassuolo,Udinese,1,1,2.0,3.3,4.0,Empate,3.3
15/16,15/16,26,Verona,Carpi FC,1,2,2.1,3.4,3.6,Carpi FC,3.6
15/16,15/16,26,Nápoles,Génova,3,1,1.25,5.75,13.0,Nápoles,1.25
15/16,15/16,26,AC Milão,Lázio,1,1,2.0,3.3,4.0,Empate,3.3
15/16,15/16,27,Carpi FC,Sassuolo,1,3,3.0,3.2,2.4,Sassuolo,2.4
15/16,15/16,27,Juventus,FC Empoli,1,0,1.3,5.0,12.0,Juventus,1.3
15/16,15/16,27,Udinese,Nápoles,3,1,6.5,4.33,1.5,Udinese,6.5
15/16,15/16,27,Atalanta,AC Milão,2,1,3.4,3.3,2.2,Atalanta,3.4
15/16,15/16,27,Chievo,Palermo,3,1,2.2,3.4,3.4,Chievo,2.2
15/16,15/16,27,Fiorentina,Sampdoria,1,1,1.6,4.0,5.75,Empate,4.0
15/16,15/16,27,Génova,Frosinone,4,0,1.5,4.2,7.0,Génova,1.5
15/16,15/16,27,Lázio,AS Roma,1,4,3.75,3.4,2.0,AS Roma,2.0
15/16,15/16,27,Inter de Milão,FC Turino,1,2,1.67,4.0,4.75,FC Turino,4.75
15/16,15/16,28,Bolonha,Verona,0,1,1.8,3.5,5.0,Verona,5.0
15/16,15/16,28,Frosinone,Inter de Milão,0,1,6.0,3.8,1.62,Inter de Milão,1.62
15/16,15/16,28,Chievo,Carpi FC,1,0,2.1,3.25,3.8,Chievo,2.1
15/16,15/16,28,Sassuolo,Génova,0,1,1.8,3.5,4.5,Génova,4.5
