temporada,semana,time_casa,time_fora,gols_casa,gols_fora,odd_casa,odd_empate,odd_fora,vencedor,odd_vencedora
2015,5,Palmeiras,Internacional,1,1,1.75,3.5,4.75,Empate,3.5
2015,5,Sport Recife,Goiás,1,0,1.7,3.4,5.5,Sport Recife,1.7
2015,5,Atlético Mineiro,Cruzeiro,1,3,1.67,3.75,5.0,Cruzeiro,5.0
2015,5,Flamengo,Chapecoense,1,0,1.73,3.5,5.0,Flamengo,1.73
2015,5,Santos,Ponte Preta,2,2,1.91,3.25,4.2,Empate,3.25
2015,5,Athletico-PR,Vasco da Gama,2,0,1.7,3.6,5.0,Athletico-PR,1.7
2015,5,Joinville,Corinthians,0,1,3.5,3.2,2.15,Corinthians,2.15
2015,5,São Paulo,Grêmio,2,0,1.75,3.5,4.75,São Paulo,1.75
2015,5,Internacional,Coritiba,2,0,1.57,3.75,6.0,Internacional,1.57
2015,5,Figueirense,Palmeiras,2,1,3.5,3.1,2.2,Figueirense,3.5
2015,5,Fluminense,Sport Recife,0,0,1.7,3.6,5.0,Empate,3.6
2015,5,Goiás,Avaí,0,1,1.8,3.3,4.75,Avaí,4.75
2015,6,Atlético Mineiro,Santos,2,2,1.5,4.0,7.0,Empate,4.0
2015,6,Chapecoense,São Paulo,0,1,2.75,3.1,2.63,São Paulo,2.63
2015,6,Corinthians,Internacional,2,1,1.8,3.4,4.75,Corinthians,1.8
2015,6,Coritiba,Flamengo,0,1,2.63,3.1,2.75,Flamengo,2.75
2015,6,Sport Recife,Joinville,2,1,1.5,4.0,7.5,Sport Recife,1.5
2015,6,Vasco da Gama,Cruzeiro,1,3,2.6,3.1,2.8,Cruzeiro,2.8
2015,6,Ponte Preta,Goiás,0,0,1.62,3.4,6.5,Empate,3.4
2015,6,Avaí,Figueirense,1,1,2.15,3.2,3.5,Empate,3.2
2015,6,Grêmio,Athletico-PR,2,1,1.62,3.6,6.0,Grêmio,1.62
2015,6,Palmeiras,Fluminense,2,1,1.7,3.4,5.5,Palmeiras,1.7
2015,7,Figueirense,Internacional,0,0,2.9,3.1,2.5,Empate,3.1
2015,7,Flamengo,Atlético Mineiro,0,2,2.55,3.3,2.7,Atlético Mineiro,2.7
2015,7,Santos,Corinthians,1,0,2.35,3.2,3.1,Santos,2.35
2015,7,Sport Recife,Vasco da Gama,2,1,1.7,3.6,5.0,Sport Recife,1.7
2015,7,Grêmio,Palmeiras,1,0,2.1,3.2,3.6,Grêmio,2.1
2015,7,Cruzeiro,Chapecoense,0,1,1.53,3.75,7.0,Chapecoense,7.0
2015,7,Athletico-PR,Coritiba,2,2,1.85,3.3,4.5,Empate,3.3
2015,7,Joinville,Goiás,2,1,2.25,3.1,3.4,Joinville,2.25
2015,7,São Paulo,Avaí,1,1,1.45,4.33,7.0,Empate,4.33
2015,8,Fluminense,Ponte Preta,2,0,2.2,3.25,3.3,Fluminense,2.2
2015,8,Avaí,Grêmio,1,2,3.25,3.2,2.25,Grêmio,2.25
2015,8,Chapecoense,Sport Recife,1,1,2.0,3.3,3.8,Empate,3.3
2015,8,Corinthians,Figueirense,2,1,1.5,3.75,7.5,Corinthians,1.5
2015,8,Atlético Mineiro,Joinville,1,0,1.22,5.75,15.0,Atlético Mineiro,1.22
2015,8,Coritiba,Cruzeiro,1,0,3.0,3.2,2.38,Coritiba,3.0
2015,8,Goiás,Fluminense,1,2,2.2,3.1,3.5,Fluminense,3.5
2015,8,Palmeiras,São Paulo,4,0,2.1,3.4,3.4,Palmeiras,2.1
2015,8,Ponte Preta,Athletico-PR,2,1,1.83,3.4,4.5,Ponte Preta,1.83
2015,8,Internacional,Santos,1,0,2.0,3.2,4.0,Internacional,2.0
2015,8,Vasco da Gama,Flamengo,1,0,4.0,3.2,2.0,Vasco da Gama,4.0
2015,9,Sport Recife,Internacional,3,0,1.91,3.3,4.2,Sport Recife,1.91
2015,9,Vasco da Gama,Avaí,1,0,1.8,3.5,4.5,Vasco da Gama,1.8
2015,9,Atlético Mineiro,Coritiba,2,0,1.36,4.75,8.5,Atlético Mineiro,1.36
2015,9,Palmeiras,Chapecoense,2,0,1.57,3.6,6.5,Palmeiras,1.57
2015,9,Athletico-PR,São Paulo,2,1,2.25,3.2,3.3,Athletico-PR,2.25
2015,9,Grêmio,Cruzeiro,1,0,1.95,3.3,4.0,Grêmio,1.95
2015,9,Joinville,Flamengo,0,1,3.4,3.1,2.25,Flamengo,2.25
2015,9,Corinthians,Ponte Preta,2,0,1.8,3.4,4.75,Corinthians,1.8
2015,9,Figueirense,Goiás,3,1,2.2,3.1,3.5,Figueirense,2.2
2015,9,Fluminense,Santos,2,1,2.2,3.2,3.4,Fluminense,2.2
2015,9,Coritiba,Joinville,0,0,1.67,3.6,5.25,Empate,3.6
2015,9,Chapecoense,Vasco da Gama,1,0,1.73,3.5,5.0,Chapecoense,1.73
2015,9,Cruzeiro,Athletico-PR,2,0,1.67,3.6,5.25,Cruzeiro,1.67
2015,9,Avaí,Sport Recife,2,2,2.38,3.2,3.0,Empate,3.2
2015,9,Goiás,Corinthians,0,0,3.2,3.0,2.38,Empate,3.0
2015,9,Santos,Grêmio,1,3,2.15,3.3,3.4,Grêmio,3.4
2015,9,São Paulo,Fluminense,0,0,1.67,3.6,5.25,Empate,3.6
2015,9,Flamengo,Figueirense,1,2,1.57,3.6,6.5,Figueirense,6.5
2015,9,Internacional,Atlético Mineiro,1,3,2.38,3.25,3.0,Atlético Mineiro,3.0
2015,9,Ponte Preta,Palmeiras,0,2,4.2,3.3,1.91,Palmeiras,1.91
2015,10,Chapecoense,Grêmio,1,0,2.75,3.0,2.75,Chapecoense,2.75
2015,10,Coritiba,Ponte Preta,0,0,2.3,3.1,3.3,Empate,3.1
2015,10,Goiás,Santos,4,1,2.5,3.0,3.0,Goiás,2.5
2015,10,Figueirense,Joinville,0,2,1.8,3.4,4.75,Joinville,4.75
2015,10,Palmeiras,Avaí,3,0,1.36,4.33,9.5,Palmeiras,1.36
2015,10,Atlético Mineiro,Sport Recife,2,1,1.4,4.33,8.5,Atlético Mineiro,1.4
2015,10,Internacional,Flamengo,1,2,2.0,3.4,3.75,Flamengo,3.75
2015,10,Vasco da Gama,São Paulo,0,4,4.0,3.2,2.0,São Paulo,2.0
2015,10,Corinthians,Athletico-PR,2,0,1.53,3.8,7.0,Corinthians,1.53
2015,10,Fluminense,Cruzeiro,1,0,2.6,3.2,2.75,Fluminense,2.6
2015,10,Grêmio,Vasco da Gama,2,0,1.4,4.33,8.5,Grêmio,1.4
2015,10,Santos,Figueirense,3,0,1.53,4.0,6.0,Santos,1.53
2015,10,Ponte Preta,Atlético Mineiro,0,2,2.75,3.3,2.5,Atlético Mineiro,2.5
2015,10,São Paulo,Coritiba,3,1,1.53,3.8,6.5,São Paulo,1.53
2015,10,Athletico-PR,Fluminense,1,2,2.0,3.3,3.8,Fluminense,3.8
2015,10,Cruzeiro,Goiás,1,0,1.57,3.6,6.5,Cruzeiro,1.57
2015,10,Flamengo,Corinthians,0,3,2.45,3.0,3.1,Corinthians,3.1
2015,10,Joinville,Internacional,0,2,2.25,3.2,3.25,Internacional,3.25
2015,10,Avaí,Chapecoense,2,1,2.5,3.0,3.0,Avaí,2.5
2015,10,Sport Recife,Palmeiras,2,2,2.38,3.2,3.0,Empate,3.2
2015,11,Flamengo,Grêmio,1,0,2.3,3.0,3.4,Flamengo,2.3
2015,11,Internacional,Goiás,2,1,1.95,3.3,4.0,Internacional,1.95
2015,11,Corinthians,Atlético Mineiro,1,0,2.25,3.25,3.2,Corinthians,2.25
2015,11,Athletico-PR,Chapecoense,1,0,2.05,3.25,3.75,Athletico-PR,2.05
2015,11,Figueirense,Coritiba,0,0,2.1,3.25,3.5,Empate,3.25
2015,11,Fluminense,Vasco da Gama,1,2,1.62,3.6,6.0,Vasco da Gama,6.0
2015,11,Palmeiras,Santos,1,0,1.67,3.6,5.25,Palmeiras,1.67
2015,11,Sport Recife,São Paulo,2,0,2.4,3.2,3.0,Sport Recife,2.4
2015,11,Cruzeiro,Avaí,1,1,1.44,4.2,7.5,Empate,4.2
2015,11,Joinville,Ponte Preta,1,1,2.63,3.2,2.7,Empate,3.2
2015,12,Avaí,Athletico-PR,1,2,2.25,3.2,3.2,Athletico-PR,3.2
2015,12,Grêmio,Sport Recife,1,1,1.57,3.6,6.5,Empate,3.6
2015,12,Atlético Mineiro,Figueirense,1,0,1.25,5.25,13.0,Atlético Mineiro,1.25
2015,12,Chapecoense,Fluminense,2,1,2.1,3.3,3.5,Chapecoense,2.1
2015,12,Santos,Joinville,2,0,1.53,4.0,6.0,Santos,1.53
2015,12,Coritiba,Corinthians,1,1,2.88,3.0,2.6,,
2015,12,Goiás,Flamengo,0,1,2.5,3.2,2.88,Flamengo,2.88
2015,12,Ponte Preta,Internacional,0,0,2.1,3.2,3.6,Empate,3.2
2015,12,São Paulo,Cruzeiro,1,0,2.0,3.4,3.75,São Paulo,2.0
2015,12,Vasco da Gama,Palmeiras,1,4,3.0,3.2,2.38,Palmeiras,2.38
2015,13,Atlético Mineiro,São Paulo,3,1,1.67,3.6,5.25,Atlético Mineiro,1.67
2015,13,Corinthians,Vasco da Gama,3,0,1.4,4.0,9.5,Corinthians,1.4
2015,13,Fluminense,Grêmio,1,0,2.1,3.1,3.75,Fluminense,2.1
2015,13,Coritiba,Goiás,1,1,1.91,3.3,4.2,Empate,3.3
2015,13,Palmeiras,Athletico-PR,0,1,1.44,4.0,8.0,Athletico-PR,8.0
2015,13,Figueirense,Ponte Preta,3,1,2.25,3.2,3.3,Figueirense,2.25
2015,13,Flamengo,Santos,2,2,1.91,3.3,4.2,Empate,3.3
2015,13,Internacional,Chapecoense,0,0,1.62,3.4,6.5,Empate,3.4
2015,13,Joinville,Avaí,2,0,2.4,3.2,3.0,Joinville,2.4
2015,13,Sport Recife,Cruzeiro,0,0,2.15,3.2,3.5,Empate,3.2
2015,14,Avaí,Fluminense,1,0,2.4,3.2,3.0,Avaí,2.4
2015,14,Santos,Coritiba,3,0,1.53,3.8,6.5,Santos,1.53
2015,14,Athletico-PR,Sport Recife,1,1,1.73,3.6,4.75,Empate,3.6
2015,14,Vasco da Gama,Joinville,0,0,1.85,3.4,4.33,Empate,3.4
2015,14,Cruzeiro,Palmeiras,2,1,2.05,3.2,3.8,Cruzeiro,2.05
2015,14,Goiás,Atlético Mineiro,0,0,3.1,3.1,2.38,Empate,3.1
2015,14,Ponte Preta,Flamengo,1,0,2.63,3.1,2.75,Ponte Preta,2.63
2015,14,São Paulo,Corinthians,1,1,2.45,3.0,3.1,Empate,3.0
2015,14,Chapecoense,Figueirense,2,2,1.91,3.2,4.33,Empate,3.2
2015,14,Grêmio,Internacional,5,0,1.75,3.5,4.75,Grêmio,1.75
2015,15,Coritiba,Palmeiras,2,1,2.9,3.1,2.5,Coritiba,2.9
2015,15,Flamengo,Athletico-PR,3,2,1.83,3.5,4.33,Flamengo,1.83
2015,15,Goiás,Chapecoense,0,0,1.83,3.25,4.75,Empate,3.25
2015,15,Santos,Vasco da Gama,1,0,1.4,4.75,7.0,Santos,1.4
2015,15,Corinthians,Sport Recife,4,3,1.55,3.75,6.5,Corinthians,1.55
2015,15,Figueirense,São Paulo,0,2,3.0,3.2,2.4,São Paulo,2.4
2015,15,Internacional,Fluminense,1,0,2.05,3.25,3.75,Internacional,2.05
2015,15,Ponte Preta,Avaí,2,0,1.62,3.8,5.5,Ponte Preta,1.62
2015,15,Atlético Mineiro,Grêmio,0,2,1.7,3.6,5.0,Grêmio,5.0
2015,15,Joinville,Cruzeiro,3,0,3.3,3.1,2.3,Joinville,3.3
2015,15,Athletico-PR,Santos,0,0,2.4,3.2,3.0,Empate,3.2
2015,15,Vasco da Gama,Coritiba,0,1,2.2,3.2,3.4,Coritiba,3.4
2015,15,São Paulo,Goiás,0,3,1.67,3.6,5.5,Goiás,5.5
2015,15,Palmeiras,Flamengo,4,2,2.0,3.3,3.8,Palmeiras,2.0
2015,15,Avaí,Corinthians,1,2,3.1,3.1,2.38,Corinthians,2.38
2015,15,Cruzeiro,Internacional,0,0,1.67,3.5,5.5,Empate,3.5
2015,15,Fluminense,Figueirense,2,1,1.65,3.6,5.5,Fluminense,1.65
2015,15,Sport Recife,Ponte Preta,1,1,1.83,3.4,4.5,Empate,3.4
2015,15,Chapecoense,Atlético Mineiro,2,1,3.2,3.2,2.3,Chapecoense,3.2
2015,15,Grêmio,Joinville,2,1,1.4,4.33,8.5,Grêmio,1.4
2015,16,Goiás,Vasco da Gama,3,0,1.62,3.8,5.5,Goiás,1.62
2015,16,Santos,Avaí,5,2,1.4,4.5,8.0,Santos,1.4
2015,16,Figueirense,Sport Recife,2,1,2.2,3.4,3.25,Figueirense,2.2
2015,16,Coritiba,Chapecoense,1,0,2.05,3.2,3.8,Coritiba,2.05
2015,16,Ponte Preta,Grêmio,0,0,2.5,3.1,2.9,Empate,3.1
2015,16,Corinthians,Cruzeiro,3,0,1.85,3.4,4.33,Corinthians,1.85
2015,16,Flamengo,São Paulo,2,1,2.05,3.25,3.75,Flamengo,2.05
2015,16,Internacional,Athletico-PR,2,0,1.85,3.2,4.75,Internacional,1.85
2015,16,Joinville,Fluminense,2,1,2.6,3.1,2.8,Joinville,2.6
2015,16,Atlético Mineiro,Palmeiras,2,1,1.83,3.6,4.2,Atlético Mineiro,1.83
2015,20,Fluminense,Palmeiras,1,4,2.3,3.2,3.2,Palmeiras,3.2
2015,20,Goiás,Ponte Preta,1,2,1.8,3.5,4.5,Ponte Preta,4.5
2015,20,Joinville,Sport Recife,1,1,2.63,3.1,2.75,Empate,3.1
2015,20,Athletico-PR,Grêmio,1,2,2.6,3.2,2.7,Grêmio,2.7
2015,20,Figueirense,Avaí,0,1,2.15,3.2,3.5,Avaí,3.5
2015,20,Cruzeiro,Vasco da Gama,2,2,1.4,4.2,9.0,Empate,4.2
2015,20,Internacional,Corinthians,2,1,2.25,3.1,3.4,Internacional,2.25
2015,20,Santos,Atlético Mineiro,4,0,2.15,3.25,3.4,Santos,2.15
2015,20,São Paulo,Chapecoense,0,0,1.5,3.8,8.5,Empate,3.8
2015,20,Flamengo,Coritiba,0,2,1.57,3.75,6.5,Coritiba,6.5
2015,20,Internacional,Figueirense,1,1,1.45,4.1,7.5,Empate,4.1
2015,20,Palmeiras,Grêmio,3,2,2.0,3.4,3.75,Palmeiras,2.0
2015,20,Ponte Preta,Fluminense,3,1,2.3,3.4,3.0,Ponte Preta,2.3
2015,20,Corinthians,Santos,2,0,2.1,3.3,3.5,Corinthians,2.1
2015,20,Goiás,Joinville,3,0,1.67,3.75,5.0,Goiás,1.67
2015,20,Vasco da Gama,Sport Recife,2,1,2.3,3.4,3.0,Vasco da Gama,2.3
2015,20,Chapecoense,Cruzeiro,0,2,2.6,3.0,2.9,Cruzeiro,2.9
2015,20,Coritiba,Athletico-PR,2,0,2.5,3.3,2.75,Coritiba,2.5
2015,21,Fluminense,Goiás,2,0,1.95,3.3,4.0,Fluminense,1.95
2015,21,Grêmio,Avaí,3,1,1.57,3.6,6.5,Grêmio,1.57
2015,21,Athletico-PR,Ponte Preta,1,2,2.2,3.2,3.4,Ponte Preta,3.4
2015,21,Santos,Internacional,3,1,1.8,3.5,4.5,Santos,1.8
2015,21,Figueirense,Corinthians,1,3,3.1,3.2,2.3,Corinthians,2.3
2015,21,Flamengo,Vasco da Gama,1,2,1.67,3.6,5.25,Vasco da Gama,5.25
2015,21,Joinville,Atlético Mineiro,2,2,4.2,3.3,1.91,Empate,3.3
2015,21,São Paulo,Palmeiras,1,1,2.3,3.25,3.1,Empate,3.25
2015,21,Cruzeiro,Coritiba,2,0,1.44,4.2,7.5,Cruzeiro,1.44
2015,21,Sport Recife,Chapecoense,3,0,1.75,3.4,5.0,Sport Recife,1.75
2015,22,Coritiba,Atlético Mineiro,0,3,3.2,3.4,2.2,Atlético Mineiro,2.2
2015,22,Internacional,Sport Recife,2,1,1.67,3.6,5.25,Internacional,1.67
2015,22,São Paulo,Athletico-PR,1,0,1.67,3.6,5.5,São Paulo,1.67
2015,22,Avaí,Vasco da Gama,1,1,2.1,3.2,3.6,Empate,3.2
2015,22,Flamengo,Joinville,2,0,1.36,4.33,10.0,Flamengo,1.36
2015,22,Cruzeiro,Grêmio,0,0,1.95,3.2,4.2,Empate,3.2
2015,22,Goiás,Figueirense,2,3,1.75,3.5,4.75,Figueirense,4.75
2015,22,Ponte Preta,Corinthians,2,2,2.88,3.4,2.4,Empate,3.4
2015,22,Santos,Fluminense,3,1,1.53,3.75,7.0,Santos,1.53
2015,22,Chapecoense,Palmeiras,5,1,2.7,3.25,2.55,Chapecoense,2.7
2015,23,Atlético Mineiro,Internacional,2,1,1.45,4.2,7.0,Atlético Mineiro,1.45
2015,23,Sport Recife,Avaí,3,0,1.8,3.5,4.5,Sport Recife,1.8
2015,23,Figueirense,Flamengo,3,0,3.1,2.9,2.5,,
2015,23,Joinville,Coritiba,3,1,2.5,3.1,2.9,Joinville,2.5
2015,23,Palmeiras,Ponte Preta,0,1,1.62,3.8,5.25,Ponte Preta,5.25
2015,23,Athletico-PR,Cruzeiro,2,2,2.3,3.1,3.2,Empate,3.1
2015,23,Fluminense,São Paulo,2,0,2.25,3.4,3.0,Fluminense,2.25
2015,23,Corinthians,Goiás,3,0,1.5,4.0,7.0,Corinthians,1.5
2015,23,Vasco da Gama,Chapecoense,1,1,2.0,3.4,3.75,Empate,3.4
2015,23,Avaí,Palmeiras,1,3,2.5,3.25,2.8,Palmeiras,2.8
2015,23,Joinville,Figueirense,1,0,2.38,3.2,3.0,Joinville,2.38
2015,23,Cruzeiro,Fluminense,2,0,1.67,3.6,5.25,Cruzeiro,1.67
2015,23,Ponte Preta,Coritiba,3,0,1.8,3.4,4.75,Ponte Preta,1.8
2015,23,Athletico-PR,Corinthians,1,4,2.9,3.25,2.4,Corinthians,2.4
2015,23,Flamengo,Internacional,0,1,1.8,3.5,4.5,Internacional,4.5
2015,23,São Paulo,Vasco da Gama,2,2,1.5,4.0,6.5,Empate,4.0
2015,23,Grêmio,Chapecoense,2,3,1.5,4.0,7.0,Chapecoense,7.0
2015,23,Santos,Goiás,3,1,1.5,4.0,7.0,Santos,1.5
2015,23,Sport Recife,Atlético Mineiro,4,1,3.1,3.4,2.25,Sport Recife,3.1
2015,24,Fluminense,Athletico-PR,0,1,1.91,3.4,4.0,Athletico-PR,4.0
2015,24,Figueirense,Santos,0,0,2.8,3.25,2.5,Empate,3.25
2015,24,Internacional,Joinville,1,0,1.4,4.33,8.5,Internacional,1.4
2015,24,Palmeiras,Sport Recife,0,2,1.73,3.6,4.75,Sport Recife,4.75
2015,24,Chapecoense,Avaí,0,0,1.91,3.4,4.0,Empate,3.4
2015,24,Corinthians,Flamengo,1,0,1.57,3.8,6.0,Corinthians,1.57
2015,24,Coritiba,São Paulo,1,2,2.6,3.2,2.75,São Paulo,2.75
2015,24,Vasco da Gama,Grêmio,0,0,2.45,3.2,2.88,Empate,3.2
2015,24,Goiás,Cruzeiro,0,1,2.3,3.1,3.2,Cruzeiro,3.2
2015,24,Atlético Mineiro,Ponte Preta,2,1,1.4,4.5,8.0,Atlético Mineiro,1.4
2015,25,São Paulo,Sport Recife,3,0,1.67,3.75,5.0,São Paulo,1.67
2015,25,Avaí,Cruzeiro,1,1,3.0,3.2,2.4,Empate,3.2
2015,25,Ponte Preta,Joinville,1,0,1.62,3.75,5.5,Ponte Preta,1.62
2015,25,Coritiba,Figueirense,1,1,1.95,3.3,4.0,Empate,3.3
2015,25,Atlético Mineiro,Corinthians,0,3,1.85,3.5,4.2,Corinthians,4.2
2015,25,Chapecoense,Athletico-PR,0,0,2.05,3.25,3.75,Empate,3.25
2015,25,Grêmio,Flamengo,2,0,1.62,3.6,6.0,Grêmio,1.62
2015,25,Santos,Palmeiras,2,1,1.83,3.6,4.2,Santos,1.83
2015,25,Vasco da Gama,Fluminense,0,1,2.4,3.2,3.0,Fluminense,3.0
2015,25,Goiás,Internacional,2,1,2.38,3.2,3.0,Goiás,2.38
2015,26,Internacional,Ponte Preta,1,0,1.53,3.75,7.0,Internacional,1.53
2015,26,Athletico-PR,Avaí,2,1,1.85,3.5,4.2,Athletico-PR,1.85
2015,26,Corinthians,Coritiba,2,1,1.33,4.75,9.5,Corinthians,1.33
2015,26,Fluminense,Chapecoense,2,3,1.91,3.3,4.2,Chapecoense,4.2
2015,26,Cruzeiro,São Paulo,2,1,2.0,3.3,3.8,Cruzeiro,2.0
2015,26,Figueirense,Atlético Mineiro,0,1,3.0,3.2,2.38,Atlético Mineiro,2.38
2015,26,Flamengo,Goiás,4,1,1.57,3.75,6.0,Flamengo,1.57
2015,26,Palmeiras,Vasco da Gama,0,2,1.53,4.0,6.0,Vasco da Gama,6.0
2015,26,Joinville,Santos,0,0,4.0,3.4,1.91,Empate,3.4
2015,26,Sport Recife,Grêmio,1,0,2.3,3.2,3.2,Sport Recife,2.3
2015,27,Cruzeiro,Sport Recife,3,0,1.5,4.0,7.0,Cruzeiro,1.5
2015,28,Goiás,Coritiba,1,3,1.95,3.3,4.0,Coritiba,4.0
2015,28,Athletico-PR,Palmeiras,3,3,2.3,3.25,3.1,Empate,3.25
2015,28,Avaí,Joinville,2,1,1.91,3.25,4.33,Avaí,1.91
2015,28,Ponte Preta,Figueirense,0,1,1.95,3.3,4.0,Figueirense,4.0
2015,28,Chapecoense,Internacional,1,0,2.38,3.1,3.1,Chapecoense,2.38
2015,28,Grêmio,Fluminense,1,0,1.55,3.8,6.5,Grêmio,1.55
2015,28,Santos,Flamengo,0,0,1.65,3.5,5.75,Empate,3.5
2015,28,São Paulo,Atlético Mineiro,4,2,2.0,3.4,3.75,São Paulo,2.0
2015,28,Vasco da Gama,Corinthians,1,1,2.7,3.1,2.7,Empate,3.1
2015,28,Palmeiras,Cruzeiro,1,1,3.4,3.2,2.2,Empate,3.2
2015,28,Atlético Mineiro,Goiás,2,2,1.44,4.5,6.5,Empate,4.5
2015,28,Corinthians,São Paulo,6,1,2.5,3.2,2.88,Corinthians,2.5
2015,28,Figueirense,Chapecoense,0,0,1.8,3.6,4.33,Empate,3.6
2015,28,Internacional,Grêmio,1,0,2.6,3.2,2.7,Internacional,2.6
2015,28,Joinville,Vasco da Gama,1,2,2.63,3.4,2.55,Vasco da Gama,2.55
2015,28,Flamengo,Ponte Preta,1,1,1.73,3.5,5.0,Empate,3.5
2015,28,Coritiba,Santos,1,0,2.63,3.3,2.6,Coritiba,2.63
2015,28,Fluminense,Avaí,3,1,2.05,3.4,3.6,Fluminense,2.05
2015,28,Sport Recife,Athletico-PR,0,0,1.73,3.5,5.0,Empate,3.5
2015,29,São Paulo,Figueirense,3,2,1.5,3.75,7.5,São Paulo,1.5
2015,29,Fluminense,Internacional,1,1,3.2,3.4,2.2,Empate,3.4
2015,29,Avaí,Ponte Preta,1,0,1.75,3.6,4.75,Avaí,1.75
2015,29,Cruzeiro,Joinville,3,0,1.3,5.25,9.5,Cruzeiro,1.3
2015,29,Grêmio,Atlético Mineiro,2,1,2.05,3.5,3.5,Grêmio,2.05
2015,29,Sport Recife,Corinthians,2,0,2.15,3.3,3.4,Sport Recife,2.15
2015,29,Chapecoense,Goiás,1,3,2.0,3.4,3.75,Goiás,3.75
2015,29,Palmeiras,Coritiba,0,2,2.8,3.3,2.45,Coritiba,2.45
2015,29,Athletico-PR,Flamengo,3,0,2.4,3.2,3.0,Athletico-PR,2.4
